Date,Open,High,Low,Close,Volume,Company
10/19/2021,20,21.5,19.1,21.5,9924000,SASN
10/18/2021,20,20,20,20,300,SASN
10/15/2021,20,20,19,19.05,22300,SASN
10/14/2021,20,20,19,19.1,7300,SASN
10/13/2021,19.5,19.5,19,19.15,1100,SASN
12/10/2021,20,20,19,19.85,1700,SASN
08/10/2021,19,19,19,19,3100,SASN
07/10/2021,19.1,19.1,19.1,19.1,1900,SASN
06/10/2021,19.1,19.1,19.1,19.1,1100,SASN
05/10/2021,19.95,19.95,19.95,19.95,600,SASN
04/10/2021,20,20,18.6,19.1,1400,SASN
01/10/2021,20,20.2,20,20,20300,SASN
09/30/2021,20,20,20,20,31200,SASN
09/29/2021,20.25,20.25,20,20.05,1700,SASN
09/28/2021,20.25,20.25,20,20.2,13900,SASN
09/27/2021,20.25,20.25,20,20.25,1100,SASN
09/24/2021,21.2,21.2,20,20.1,1400,SASN
09/23/2021,20,20,20,20,4200,SASN
09/22/2021,19.9,19.95,19.9,19.95,8500,SASN
09/21/2021,19.95,19.95,19.9,19.9,1000,SASN
09/20/2021,20.7,20.7,19.6,19.65,20300,SASN
09/17/2021,20.15,20.15,20,20.15,4200,SASN
09/16/2021,20.7,20.7,20.15,20.3,400,SASN
09/15/2021,21.25,21.25,20.3,20.35,46200,SASN
09/14/2021,20.4,21.4,20.4,20.75,16900,SASN
09/13/2021,20.3,20.5,20.3,20.45,3200,SASN
10/09/2021,19.5,20.3,19.5,20.15,6000,SASN
09/09/2021,19.5,19.5,19.5,19.5,400,SASN
08/09/2021,19,19,18.7,18.8,300,SASN
07/09/2021,18.7,19,18.7,18.7,11100,SASN
06/09/2021,18.7,18.7,18.7,18.7,100,SASN
03/09/2021,18.7,18.7,18.7,18.7,1000,SASN
01/09/2021,18.5,18.5,18.5,18.5,1700,SASN
08/31/2021,18.65,19,18.65,18.7,1300,SASN
08/30/2021,19.95,19.95,19,19.85,1100,SASN
08/27/2021,18.5,19,18.5,18.65,1800,SASN
08/26/2021,19,19,19,19,1200,SASN
08/25/2021,19.95,20,19,19.85,6900,SASN
08/24/2021,20,20,20,20,1300,SASN
08/23/2021,19.95,19.95,19.95,19.95,1000,SASN
08/20/2021,20,20,20,20,1000,SASN
