Date, Open, High, Low, Close, Volume
10/24/18, 19.40, 20.00, 19.25, 19.40, 2700
10/23/18, 19.60, 19.75, 19.50, 19.60, 2600
10/22/18, 19.60, 19.75, 19.50, 19.60, 400
10/19/18, 19.75, 20.25, 19.50, 19.75, 4300
10/18/18, 19.85, 20.25, 19.75, 19.85, 800
10/17/18, 19.70, 19.75, 19.50, 19.70, 1100
10/16/18, 19.80, 20.00, 19.75, 19.80, 1400
10/15/18, 19.75, 20.00, 19.50, 19.75, 200
10/12/18, 19.65, 20.50, 19.00, 19.65, 2700
10/09/18, 20.50, 21.00, 20.50, 20.50, 11800
10/08/18, 20.25, 21.00, 20.25, 20.25, 1400
10/05/18, 21.00, 22.00, 21.00, 21.00, 2300
10/04/18, 22.25, 22.25, 22.25, 22.25, 400
10/03/18, 22.00, 22.00, 22.00, 22.00, 600
10/02/18, 21.00, 21.00, 21.00, 21.00, 2000
10/01/18, 20.75, 21.00, 20.50, 20.75, 2400
09/28/18, 20.00, 20.00, 20.00, 20.00, 114400
09/27/18, 20.00, 20.00, 20.00, 20.00, 21500
09/26/18, 20.00, 20.00, 20.00, 20.00, 400
09/25/18, 19.75, 20.00, 19.00, 19.75, 4600
09/24/18, 20.00, 20.00, 20.00, 20.00, 1300
09/21/18, 20.00, 20.00, 20.00, 20.00, 900
09/20/18, 21.00, 21.00, 21.00, 21.00, 100
09/19/18, 21.00, 21.00, 21.00, 21.00, 500
09/18/18, 21.50, 21.50, 21.50, 21.50, 100
09/17/18, 20.00, 21.00, 20.00, 20.00, 1300
09/14/18, 20.75, 21.50, 20.00, 20.75, 400
09/13/18, 20.75, 21.00, 20.75, 20.75, 5500
09/12/18, 21.00, 21.00, 21.00, 21.00, 1900
09/11/18, 21.00, 21.50, 21.00, 21.00, 147400
09/10/18, 20.75, 21.00, 20.75, 20.75, 25300
09/06/18, 21.25, 21.50, 21.00, 21.25, 2800
09/05/18, 21.25, 21.50, 21.00, 21.25, 1700
09/04/18, 20.75, 21.00, 20.75, 20.75, 7300
08/31/18, 21.00, 21.25, 20.75, 21.00, 32700
08/30/18, 20.50, 21.00, 20.00, 20.50, 2700
08/29/18, 21.00, 21.00, 21.00, 21.00, 2300
08/27/18, 21.00, 21.50, 21.00, 21.00, 1700
08/24/18, 21.25, 21.50, 21.00, 21.25, 600
08/23/18, 21.50, 22.00, 21.50, 21.50, 2200
08/22/18, 21.75, 21.75, 21.75, 21.75, 300
08/20/18, 20.75, 21.00, 20.00, 20.75, 33700
08/17/18, 21.75, 22.00, 21.75, 21.75, 900
08/16/18, 22.00, 22.00, 22.00, 22.00, 600
08/15/18, 21.75, 22.00, 21.50, 21.75, 2500
08/14/18, 22.00, 22.00, 22.00, 22.00, 600
08/10/18, 21.25, 22.00, 21.00, 21.25, 4300
08/09/18, 21.75, 23.00, 21.50, 21.75, 400
08/08/18, 21.00, 21.75, 21.00, 21.00, 186500
08/07/18, 21.50, 23.00, 21.00, 21.50, 2900
08/06/18, 23.00, 23.00, 23.00, 23.00, 1800
08/03/18, 21.00, 21.00, 21.00, 21.00, 3921800
08/01/18, 20.25, 20.75, 19.50, 20.25, 5800
07/31/18, 19.25, 20.00, 18.25, 19.25, 2800
07/30/18, 20.00, 20.75, 20.00, 20.00, 6500
07/27/18, 20.25, 20.25, 20.25, 20.25, 1100
07/26/18, 20.25, 20.25, 20.25, 20.25, 8500
07/25/18, 20.25, 20.75, 20.25, 20.25, 2100
07/24/18, 20.00, 20.75, 20.00, 20.00, 42700
07/23/18, 20.00, 20.00, 20.00, 20.00, 300
07/20/18, 20.50, 20.50, 20.50, 20.50, 100
07/19/18, 20.75, 21.00, 19.00, 20.75, 8400
07/18/18, 20.75, 21.00, 20.50, 20.75, 13700
07/17/18, 20.50, 21.50, 19.00, 20.50, 12900
07/16/18, 21.00, 21.50, 21.00, 21.00, 8300
07/13/18, 21.00, 21.00, 21.00, 21.00, 1100
07/12/18, 21.25, 21.50, 21.00, 21.25, 2000
07/11/18, 21.00, 21.00, 21.00, 21.00, 700
07/10/18, 21.00, 22.00, 20.00, 21.00, 5300
